Name,Email,Phone,Age,Height,Weight,Goal,Notes,Created At,Status
Donald Walker,donald.walker822@example.com,(328) 923-9856,97,54,767,Want to develop better eating habits and create a balanced fitness routine,,2025-04-15T13:46:03.929836,active
Matthew Martinez,matthew.martinez133@example.com,(243) 650-8597,41,57,106,Looking to build strength and confidence through consistent training,Available for training during early morning hours only,2025-03-19T13:46:03.929836,pending
James Smith,james.smith486@example.com,(586) 498-2502,77,77,287,I want to lose 20 pounds and build muscle mass through strength training,Have previous experience with weight training,2025-04-08T13:46:03.929836,active
Susan Smith,susan.smith480@example.com,(299) 319-2995,78,87,344,Want to improve my athletic performance and recovery time,Have previous experience with weight training,2025-03-23T13:46:03.929836,active
Thomas Wilson,thomas.wilson761@example.com,(406) 211-8357,95,53,316,Looking to improve my overall fitness and energy levels through regular exercise,Prefer outdoor workouts when possible,2025-04-05T13:46:03.929836,pending
Steven Clark,steven.clark725@example.com,(374) 892-6860,117,77,512,Looking to build strength and confidence through consistent training,Need help with proper form and technique,2025-04-15T13:46:03.929836,active
Emily Adams,emily.adams723@example.com,(595) 732-8204,100,90,743,Looking to improve my flexibility and reduce back pain through exercise,,2025-03-28T13:46:03.929836,pending
Daniel Wilson,daniel.wilson864@example.com,(651) 400-6049,30,81,964,Want to improve my athletic performance and recovery time,,2025-04-06T13:46:03.929836,pending
Carol Roberts,carol.roberts564@example.com,(854) 204-4895,42,81,578,Want to increase my strength and endurance for upcoming marathon training,Need help with proper form and technique,2025-03-25T13:46:03.929836,pending
Barbara Nguyen,barbara.nguyen250@example.com,(575) 824-4867,58,57,96,Need to lose weight and improve my cardiovascular health,Have dietary restrictions that need to be considered,2025-04-13T13:46:03.929836,active
Carol Lopez,carol.lopez404@example.com,(445) 589-3541,110,89,841,Want to develop better eating habits and create a balanced fitness routine,Need help with proper form and technique,2025-03-31T13:46:03.929836,pending
Patricia Sanchez,patricia.sanchez841@example.com,(274) 903-9896,115,87,533,Want to improve my athletic performance and recovery time,Looking for a sustainable long-term fitness plan,2025-04-15T13:46:03.929836,active
